,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
23UM07z_07,,"medium gray, less translucent; uniform metamictization, no obvious fractures or inclusions; one tip imperfect",43.69961863204627,0.685995091925903,1.5697965185967135,56.70769027152632,0.7769700160831726,33.982405551369375,0.5288099946403634,1.55612878505905,3.4244245206254718,0.0702178460818683,4.7880425335397385,0.08133081435800299,0,0,0.8371025146688634,0.0016294004637590178,5.814702932999998e-06,588.9251024658447,823.4371710317845,0.0,782.432837658314
FCT_AM_z04,,clear and crisp; a few inclusions,28.21067171181003,0.4060113982215085,1.4392120909745554,50.17276796521952,0.754681668721207,21.303717699394607,0.30490101095195005,1.4312103420362845,1.4893823734762348,0.023337838251760924,0.8131701513766723,0.015537952394446362,0,0,0.19340969816550369,0.0008928082655474746,4.268618055433332e-06,348.91441542315243,190.4996279396852,0.0,393.68182798897845
23UM07z_08,,"medium gray, less translucent; uniform metamictization; a few dark bubble inclusions",37.114117387914064,0.4374423992732765,1.1786415252750329,54.65509965771898,0.765988310961198,28.450488297919826,0.3323540366703529,1.1681839453513112,2.9024683347377813,0.04859406875172985,6.635783153712965,0.09052625947993652,0,0,0.6876393345895526,0.0013714769104580659,5.094693567999998e-06,569.7042022249026,1302.4891615449887,0.0,875.789155187975
23UM07z_09,,"light gray, darker tips; moderate damage",48.624751497836634,0.7946354455377262,1.6342200650075929,53.91996731273835,0.7689091707210651,37.425300052215256,0.606779839454334,1.6213092175821255,1.8678277790533755,0.03672920172087417,1.5632584008978156,0.02516752305241919,0,0,0.45274383855650163,0.0010354152654245203,4.458244983199999e-06,418.96032768318236,350.64434699946753,0.0,501.3617492280572
23UM07z_10,,"light gray, uniform damage; edges bowed",96.20143707373731,1.683405482587617,1.7498756087160172,51.584632779454395,0.759952958180253,73.25428389479569,1.2719280662305787,1.7363190227308225,0.6591464222247055,0.01295704465406368,0.4653813951351249,0.009322266618420977,0,0,0.30555624223202965,0.0015985338182194003,4.156084890533333e-06,158.59792078022738,111.97591179986807,0.0,184.91226005319638
23UM07z_11,,"dark, limited translucency; short/squat, but angular ",46.87549494569091,0.5511924259600859,1.1758647596120049,67.3001006500082,0.8094855190141165,37.97427993808603,0.4446445520571587,1.1709097651940088,3.73951277525231,0.052070763948353124,5.848878882431059,0.09702474880262568,0,0,1.0519831095219092,0.00479592682207442,8.4791492352e-06,441.0245263437807,689.7954877536838,0.0,603.1264659658964
23UM07z_12,,"light gray/straw, uniform metamictization; smaller than most of the other picked grains in this sample",132.94164318483763,2.4599720719740823,1.8504149738497055,38.70957060729982,0.6836433719363446,91.19516089484011,1.6726738920768867,1.8341695717886801,0.32846547076200233,0.007132590233652927,0.4601845657297822,0.013628600946511596,0,0,0.2165369724253588,0.001215217460160352,1.8645843626666665e-06,176.160155227432,246.8027593407689,0.0,234.15880367251268
23UM07z_13,,"light to medium gray, straw color; short and equant",48.78455976131662,0.6406814871335648,1.3132874218157622,64.0396820556062,0.8024189415235006,39.1788525378805,0.5115646882951248,1.3057163626742587,2.5639625632300076,0.039040552778883394,2.6310477182091088,0.04109211554350848,0,0,0.6750351811008535,0.0031233530731259434,7.4898667783333325e-06,342.3241880145361,351.2809768286129,0.0,424.87521756926014
23UM07z_14,,medium gray / darker straw color; uniform metamictization,44.107039562966456,0.5529133292570644,1.2535716174460876,51.73320330788014,0.7575197902308957,33.44352153720488,0.4167103128181486,1.2460120635160123,2.2162543919107573,0.032445678221950776,2.905163530311595,0.051103189804466556,0,0,0.5248609140660123,0.0024462227939712404,4.276153527799999e-06,518.282231333022,679.387096703763,0.0,677.9381990584062
FCT_AM_z05,,"clear, extra sharp; very few inclusions; *small//close to minimum",24.193582527043272,0.503597349097282,2.0815327723141768,39.0514623928358,0.6910689925201494,16.73130641210884,0.34639165541682426,2.070320433353205,0.5948686455968873,0.011061846264331349,0.3689715804216546,0.007425726868761141,0,0,0.061591425087708415,0.0008211310764368752,2.1280316220000004e-06,279.53938251998744,173.38632405982855,0.0,320.28516867404716
