,aliquot_type,intercept,error,QST,QRT,diff_temp,diff_time,cool_time,notes,time_of_collection,file
RS23_G3_215_3,zirc,0.3875987599024736,0.0012126442089361847,8575,1335,215.0,14400.0,273.0,,1690580258.8178413,10000-4679-17150-001.csv
RS23_G3_240_3,zirc,1.062659719984533,0.0019670839348622394,8576,1335,240.0,10800.0,295.0,,1690592282.8720887,10000-4680-17152-001.csv
std1336,std,1.186197395078484,0.002019790334942723,8577,1336,,,,,1690593038.1742606,10000-4681-17154-001.csv
lb02_07292023,lb,0.003808289986662521,6.856903714062684e-05,8579,1336,,,,,1690659475.5766172,10000-4683-17158-001.csv
std1337,std,1.1760830767649488,0.0019614464197501976,8580,1337,,,,,1690660035.0771296,10000-4684-17160-001.csv
RS23_G3_265_3,zirc,2.8422668903578376,0.004421153018611091,8581,1337,265.0,9000.0,309.0,,1690670183.8130887,10000-4685-17162-001.csv
RS23_G3_285_3,zirc,6.584695537451874,0.0072034418918902185,8582,1337,285.0,9000.0,280.0,,1690680463.4662027,10000-4686-17164-001.csv
RS23_G3_305_3,zirc,11.220468325471726,0.014253677803597946,8583,1337,305.0,7200.0,296.0,,1690688895.714609,10000-4687-17166-001.csv
std1338,std,1.1893806902316395,0.0016883420857776788,8584,1338,,,,,1690690057.160919,10000-4688-17168-001.csv
lb02_07302023,lb,0.003765904904379829,8.559071212935021e-05,8586,1338,,,,,1690745282.5871716,10000-4690-17172-001.csv
std1339,std,1.1742000187992117,0.0021414002828403327,8587,1339,,,,,1690745830.839362,10000-4691-17174-001.csv
RS23_G3_325_3,zirc,22.02289061140264,0.027560460356586568,8588,1339,325.0,7200.0,292.0,,1690754156.9176707,10000-4692-17176-001.csv
RS23_G3_350_3,zirc,34.589377041557924,0.040924208215554835,8589,1339,350.0,5400.0,301.0,,1690761432.9492855,10000-4693-17178-001.csv
RS23_G3_380_3,zirc,75.34327523360868,0.11559538341384272,8590,1339,380.0,5400.0,310.0,,1690769128.2408774,10000-4694-17180-001.csv
lb03_07302023,lb,0.004642317716880151,8.371461986016377e-05,8591,1339,,,,,1690771217.5998015,10000-4695-17182-001.csv
RS23_G3_400_3,zirc,75.323428752757,0.12240690974386652,8592,1339,400.0,3600.0,317.0,,1690776047.9022825,10000-4696-17184-001.csv
std1340,std,1.190682030726581,0.0024061815827512763,8593,1340,,,,,1690778288.9783173,10000-4697-17186-001.csv
std1341,std,1.185295340440244,0.002157119315299805,8594,1341,,,,,1690779180.4420912,10000-4698-17188-001.csv
lb02_07312023,lb,0.003814660002863298,8.458255233054129e-05,8596,1341,,,,,1690824843.3684926,10000-4700-17192-001.csv
std1342,std,1.1838629369661684,0.001982360927089466,8597,1342,,,,,1690825624.398733,10000-4701-17194-001.csv
RS23_G3_375_4,zirc,31.22443533404867,0.046991449681239014,8598,1342,375.0,3600.0,314.0,,1690830614.3510587,10000-4702-17196-001.csv
RS23_G3_355_4,zirc,16.229708619501668,0.02185287479556874,8599,1342,355.0,3600.0,309.0,,1690836327.2882812,10000-4703-17198-001.csv
RS23_G3_335_4,zirc,12.054017649403985,0.015441144039716987,8600,1342,335.0,5400.0,307.0,,1690843538.9409082,10000-4704-17200-001.csv
RS23_G3_315_4,zirc,6.018758586037004,0.0057149478738198044,8601,1342,315.0,5400.0,296.0,,1690850619.6876268,10000-4705-17202-001.csv
RS23_G3_295_4,zirc,4.033327009286561,0.006582127768575471,8602,1342,295.0,7200.0,296.0,,1690861372.380314,10000-4706-17204-002.csv
std1343,std,1.189717785946588,0.0014989212713181828,8603,1343,,,,,1690862373.853132,10000-4707-17206-001.csv
lb02_08012023,lb,0.00390803243138876,0.00010001573192895528,8605,1343,,,,,1690904920.186595,10000-4709-17210-001.csv
std1344,std,1.1783887522870962,0.002049637229870726,8606,1344,,,,,1690905446.9640355,10000-4710-17212-001.csv
RS23_G3_320_5,zirc,10.588584256767357,0.014128780872793218,8607,1344,320.0,7200.0,297.0,,1690913701.216893,10000-4711-17214-001.csv
RS23_G3_345_5,zirc,16.35337151693023,0.02628574922901245,8608,1344,345.0,5400.0,305.0,,1690920491.2704842,10000-4712-17216-001.csv
RS23_G3_365_5,zirc,32.237531785074246,0.027827990904936963,8609,1344,365.0,5400.0,309.0,,1690927572.6167984,10000-4713-17218-001.csv
RS23_G3_390_5,zirc,41.87660832993801,0.04774969892965555,8610,1344,390.0,3600.0,316.0,,1690933105.0681713,10000-4714-17220-001.csv
lb03_08012023,lb,0.004851287549973148,7.081072000611362e-05,8611,1344,,,,,1690934847.1583154,10000-4715-17222-001.csv
RS23_G3_415_5,zirc,74.44130282087114,0.1104795511581179,8612,1344,415.0,3600.0,317.0,,1690939503.0639243,10000-4716-17224-001.csv
std1345,std,1.1952618810551685,0.002241773366741908,8613,1345,,,,,1690942398.8177464,10000-4717-17226-001.csv
lb02_10232023,lb,0.0041009776846198534,9.450469442902032e-05,9418,1468,,,,,1698093001.481858,10000-5517-18836-001.csv
std1469,std,1.1989046333943005,0.0017256448288393647,9419,1469,,,,,1698093828.1028144,10000-5518-18838-001.csv
RS23_G3_500_fulldegas_1,zirc,253.30118195429623,0.29329692042996325,9420,1469,500,1800,316,,1698097355.003823,10000-5519-18840-001.csv
lb03_10232023,lb,0.004611412956115967,8.909574610258062e-05,9421,1469,,,,,1698101644.9279773,10000-5520-18842-001.csv
RS23_G3_500_fulldegas_2,zirc,365.73234899359454,0.5008316005726736,9422,1469,500,3600,300,,1698106292.6060078,10000-5521-18844-001.csv
lb04_10232023,lb,0.004962699930916554,0.00010177598398453825,9423,1469,,,,,1698109286.1952066,10000-5522-18846-001.csv
std1470,std,1.1992687493871999,0.002101459677709276,9424,1470,,,,,1698109897.9665651,10000-5523-18848-001.csv
lb02_10242023,lb,0.0037267554612472713,0.00011082754789610116,9426,1470,,,,,1698165986.469665,10000-5525-18852-001.csv
std1471,std,1.1867700599500897,0.0018574841097728932,9427,1471,,,,,1698166497.404016,10000-5526-18854-001.csv
RS23_G3_500_fulldegas_3,zirc,272.5194362637281,0.3175522812129743,9428,1471,500,3600,330,,1698171013.0086527,10000-5527-18856-001.csv
lb03_10242023,lb,0.004572077608120201,8.644674903663292e-05,9429,1471,,,,,1698173464.895316,10000-5528-18858-001.csv
RS23_G3_600_fulldegas_4,zirc,531.3197613277835,0.8416754505179409,9430,1471,600,1800,312,,1698176309.1080012,10000-5529-18860-001.csv
lb05_10242023,lb,0.004963999693378516,8.021167190794096e-05,9432,1471,,,,,1698180068.6257215,10000-5531-18864-001.csv
RS23_G3_600_fulldegas_5,zirc,261.9159205857195,0.3124369115227442,9433,1471,600,1800,337,,1698183062.3850574,10000-5532-18866-001.csv
lb07_10242023,lb,0.005105803637970668,0.00011405028647817432,9435,1471,,,,,1698188071.0650826,10000-5534-18870-001.csv
RS23_G3_600_fulldegas_6,zirc,157.34442786428625,0.2061145536200594,9436,1471,600,3600,345,,1698192665.1196282,10000-5535-18872-001.csv
lb08_10242023,lb,0.005091371504477551,9.328523649664247e-05,9437,1471,,,,,1698195297.5423818,10000-5536-18874-001.csv
std1472,std,1.1983269200194164,0.0022282831053954625,9438,1472,,,,,1698195806.1439219,10000-5537-18876-001.csv
lb02_10252023,lb,0.00397261885836031,8.262665744530323e-05,9440,1472,,,,,1698251209.0106053,10000-5539-18880-001.csv
std1473,std,1.193998718954499,0.0023162450524711175,9441,1473,,,,,1698251840.5382686,10000-5540-18882-001.csv
RS23_G3_600_fulldegas_7,zirc,24.718572028874597,0.027842863665113068,9442,1473,600,3600,341,,1698256662.6151044,10000-5541-18884-001.csv
lb03_10252023,lb,0.004356767455513167,6.767786460631043e-05,9443,1473,,,,,1698258592.597968,10000-5542-18886-001.csv
RS23_G3_600_fulldegas_8,zirc,3.4038128824600546,0.0036176601613212814,9444,1473,600,3600,345,,1698263809.8199983,10000-5543-18888-001.csv
RS23_G3_700_fulldegas_9,zirc,0.5232475065661468,0.0014040922205849954,9445,1473,700,3600,340,,1698269105.5040977,10000-5544-18890-001.csv
std1474,std,1.2044305524797014,0.0018152534817846577,9446,1474,,,,,1698269878.1186042,10000-5545-18892-001.csv
lb02_10262023,lb,0.0039251584293982225,7.56826737691447e-05,9448,1474,,,,,1698344793.1803415,10000-5547-18896-001.csv
std1475,std,1.1986864988769208,0.0018491533694693163,9449,1475,,,,,1698345704.7918634,10000-5548-18898-001.csv
RS23_G3_800_fulldegas_10,zirc,0.004490999551992081,9.872586270261399e-05,9450,1475,800,3600,345,,1698350383.3243032,10000-5549-18900-001.csv
lb03_10262023,lb,0.0042735782465296275,0.00011787520193368465,9451,1475,,,,,1698351096.3721857,10000-5550-18902-001.csv
std1476,std,1.1941561825996392,0.0016915506946490737,9452,1476,,,,,1698351848.064731,10000-5551-18904-001.csv
